id,title,type,genre,subgenre,duration,rating,quality,year,network,thumbnail_key,progress,is_live,is_new,is_expiring,description,tags
reality_001,The Great British Baking Show,tv,reality,competition,60,TV-PG,HD,2024,Channel 4,trending/gbbo,30,false,false,false,"Amateur bakers compete in weekly challenges","cooking,competition,british,feel-good"
reality_002,Survivor,tv,reality,competition,60,TV-PG,HD,2024,CBS,continue-watching/survivor,75,false,false,false,"Contestants compete for $1 million on remote island","competition,survival,strategy,social game"
doc_001,Our Planet II,tv,documentary,nature,50,TV-PG,4K HDR,2023,Netflix,editorial/our-planet-2,0,false,false,false,"David Attenborough presents the wonders of the natural world","nature,environment,david attenborough,wildlife"
doc_002,The Social Dilemma,movie,documentary,technology,94,PG-13,HD,2020,Netflix,collections/social-dilemma,0,false,false,false,"Tech experts discuss the dangerous impact of social networking","technology,social media,privacy,ethics"
kids_001,Bluey,tv,animation,family,7,TV-Y,HD,2018,Disney+,continue-watching/bluey,60,false,false,false,"Adventures of a Blue Heeler puppy and her family","kids,family,australian,educational"
kids_002,Paw Patrol,tv,animation,adventure,23,TV-Y,HD,2013,Nickelodeon,trending/paw-patrol,0,false,false,false,"Rescue dogs protect Adventure Bay","kids,adventure,teamwork,preschool"
anime_001,Attack on Titan: Final Season,tv,animation,anime,24,TV-MA,HD,2023,Crunchyroll,trending/attack-on-titan,80,false,false,false,"Humanity's last stand against giant humanoid Titans","anime,action,dark fantasy,manga adaptation"
anime_002,One Piece,tv,animation,anime,24,TV-14,HD,1999,Crunchyroll,continue-watching/one-piece,15,false,false,false,"Pirates search for the ultimate treasure","anime,adventure,shonen,long-running"
food_001,The Bear,tv,drama,culinary,30,TV-MA,4K,2022,FX,editorial/the-bear,0,false,true,false,"Young chef returns to run family sandwich shop in Chicago","cooking,drama,restaurant,jeremy allen white"
food_002,Chef's Table,tv,documentary,culinary,50,TV-MA,4K HDR,2015,Netflix,collections/chefs-table,0,false,false,false,"Profiles of world-renowned chefs","cooking,fine dining,documentary,international"
movie_004,Dune: Part Two,movie,action,sci-fi,166,PG-13,4K HDR,2024,Warner Bros,editorial/dune-2,0,false,true,false,"Paul Atreides unites with the Fremen to take revenge","sci-fi,epic,denis villeneuve,timothee chalamet"
movie_005,Barbie,movie,comedy,fantasy,114,PG-13,4K,2023,Warner Bros,trending/barbie,0,false,false,false,"Barbie and Ken venture into the real world","comedy,fantasy,margot robbie,ryan gosling"
movie_006,Oppenheimer,movie,drama,biographical,180,R,4K HDR,2023,Universal,editorial/oppenheimer,0,false,false,false,"The story of J. Robert Oppenheimer and the atomic bomb","christopher nolan,historical,cillian murphy,war"
show_004,Succession,tv,drama,family,60,TV-MA,4K,2018,HBO,continue-watching/succession,90,false,false,false,"The Roy family fights for control of media empire","business,family drama,dark comedy,emmy winner"
show_005,Stranger Things,tv,drama,sci-fi,50,TV-14,4K HDR,2016,Netflix,trending/stranger-things,0,false,false,false,"Kids in 1980s Indiana encounter supernatural forces","80s nostalgia,horror,sci-fi,ensemble"
show_006,The Crown,tv,drama,historical,60,TV-MA,4K HDR,2016,Netflix,editorial/the-crown,20,false,false,true,"Chronicles the reign of Queen Elizabeth II","british royalty,historical,biographical,peter morgan"
live_001,WWE Monday Night Raw,sports,sports,wrestling,180,TV-PG,HD,2024,USA Network,live-now/wwe-raw,0,true,false,false,"Live professional wrestling from Detroit","wwe,wrestling,live,sports entertainment"
live_002,The Tonight Show,tv,reality,talk show,60,TV-14,HD,2024,NBC,live-now/tonight-show,0,false,false,false,"Jimmy Fallon hosts celebrity guests and comedy","talk show,comedy,celebrities,late night"
live_003,CNN Breaking News,tv,news,breaking,60,TV-PG,HD,2024,CNN,live-now/cnn-breaking,0,false,false,false,"Live breaking news coverage","news,breaking news,politics,live"
short_001,House of the Dragon: Inside Episode,tv,documentary,behind-scenes,10,TV-MA,HD,2024,HBO,gamestream/hotd-inside,0,false,false,false,"Behind the scenes of latest episode","game of thrones,behind scenes,hbo,exclusive"
short_002,SNL: Weekend Update,tv,comedy,sketch,15,TV-14,HD,2024,NBC,gamestream/snl-update,0,false,false,false,"Latest Weekend Update segment","comedy,satire,news parody,snl"
short_003,NBA Top 10 Plays,sports,sports,basketball,5,TV-PG,HD,2024,ESPN,gamestream/nba-top-10,0,false,false,false,"Best plays from last night's games","nba,highlights,sports,basketball"
movie_007,Killers of the Flower Moon,movie,drama,crime,206,R,4K,2023,Apple,editorial/killers-flower-moon,0,false,false,false,"1920s murders of Osage Nation members","scorsese,dicaprio,historical,crime"
movie_008,Spider-Man: Across the Spider-Verse,movie,animation,superhero,140,PG,4K HDR,2023,Sony,trending/spiderverse-2,0,false,false,false,"Miles Morales returns for multiversal adventure","animation,marvel,superhero,sequel"
show_007,The White Lotus,tv,drama,satire,60,TV-MA,4K,2021,HBO,continue-watching/white-lotus,55,false,false,false,"Dark comedy about wealthy vacationers","satire,mystery,ensemble,mike white"
show_008,Squid Game,tv,drama,thriller,60,TV-MA,4K HDR,2021,Netflix,collections/squid-game,0,false,false,false,"Debt-ridden people compete in deadly games","korean,thriller,survival,social commentary"
channel_001,ESPN,channel,sports,live,0,TV-PG,HD,2024,ESPN,live-now/espn-channel,0,true,false,false,"24/7 Sports Coverage","sports,live,4K"
channel_002,CNN,channel,news,live,0,TV-PG,HD,2024,CNN,live-now/cnn-channel,0,true,false,false,"24/7 News Network","news,live,breaking news"
channel_003,HBO,channel,entertainment,premium,0,TV-MA,4K HDR,2024,HBO,live-now/hbo-channel,0,false,false,false,"Premium Entertainment Channel","movies,series,premium,4K HDR"
channel_004,Disney Channel,channel,kids,family,0,TV-G,HD,2024,Disney,live-now/disney-channel,0,false,false,false,"Family Entertainment","kids,family,animation"
channel_005,Food Network,channel,lifestyle,culinary,0,TV-G,HD,2024,Food Network,live-now/food-network,0,false,false,false,"Cooking and Food Shows","cooking,lifestyle,competition"
show_009,Breaking Bad,tv,drama,crime,47,TV-MA,HD,2008,AMC,continue-watching/breaking-bad,35,false,false,false,"High school chemistry teacher turns to cooking meth","crime,drama,bryan cranston,classic"
show_010,The Office,tv,comedy,workplace,22,TV-14,HD,2005,NBC,trending/the-office,0,false,false,false,"Mockumentary about paper company employees","comedy,workplace,steve carell,mockumentary"
show_011,Game of Thrones,tv,drama,fantasy,60,TV-MA,4K HDR,2011,HBO,collections/game-of-thrones,0,false,false,false,"Noble families vie for control of the Seven Kingdoms","fantasy,dragons,medieval,epic"
show_012,Friends,tv,comedy,sitcom,22,TV-PG,HD,1994,NBC,trending/friends,0,false,false,false,"Six friends navigate life in New York City","sitcom,classic,ensemble,new york"
show_013,The Mandalorian,tv,action,sci-fi,40,TV-14,4K HDR,2019,Disney+,editorial/mandalorian,0,false,false,false,"Lone bounty hunter protects mysterious child","star wars,western,baby yoda,pedro pascal"
show_014,Yellowstone,tv,drama,western,60,TV-MA,4K,2018,Paramount,continue-watching/yellowstone,70,false,false,false,"Dutton family fights to keep their Montana ranch","western,family drama,kevin costner,modern"
show_015,The Boys,tv,action,superhero,60,TV-MA,4K HDR,2019,Prime Video,trending/the-boys,0,false,false,false,"Vigilantes fight corrupt superheroes","superhero,satire,violence,dark comedy"
show_016,Severance,tv,drama,sci-fi,60,TV-MA,4K,2022,Apple TV+,editorial/severance,25,false,false,false,"Employees undergo procedure to separate work and personal memories","psychological,thriller,adam scott,mystery"
show_017,Wednesday,tv,drama,supernatural,50,TV-14,4K HDR,2022,Netflix,trending/wednesday,0,false,false,false,"Wednesday Addams investigates murders at Nevermore Academy","gothic,mystery,jenna ortega,tim burton"
show_018,House of Cards,tv,drama,political,50,TV-MA,4K,2013,Netflix,collections/house-of-cards,0,false,false,false,"Ruthless politician schemes his way to power","political,drama,kevin spacey,thriller"
movie_009,The Godfather,movie,drama,crime,175,R,HD,1972,Paramount,collections/godfather,0,false,false,false,"Aging patriarch transfers control of criminal empire","mafia,classic,marlon brando,epic"
movie_010,Inception,movie,action,sci-fi,148,PG-13,4K,2010,Warner Bros,editorial/inception,0,false,false,false,"Thief who steals corporate secrets through dreams","christopher nolan,mind-bending,dicaprio,heist"
movie_011,Black Panther: Wakanda Forever,movie,action,superhero,161,PG-13,4K HDR,2022,Marvel,trending/black-panther-2,0,false,false,false,"Wakanda faces new threats after T'Challa's death","marvel,superhero,tribute,emotional"
movie_012,The Batman,movie,action,noir,176,PG-13,4K HDR,2022,Warner Bros,editorial/the-batman,0,false,false,false,"Young Batman hunts serial killer in Gotham","batman,noir,robert pattinson,detective"
movie_013,Avatar: The Way of Water,movie,action,sci-fi,192,PG-13,4K HDR,2022,20th Century,trending/avatar-2,0,false,false,false,"Jake Sully's family faces new threats on Pandora","james cameron,sequel,visual effects,epic"
movie_014,John Wick: Chapter 4,movie,action,thriller,169,R,4K HDR,2023,Lionsgate,editorial/john-wick-4,0,false,false,false,"John Wick fights the High Table for his freedom","keanu reeves,action,martial arts,stylized"
movie_015,Guardians of the Galaxy Vol. 3,movie,action,sci-fi,150,PG-13,4K HDR,2023,Marvel,trending/gotg-3,0,false,false,false,"Guardians face their past to save one of their own","marvel,emotional,soundtrack,finale"
movie_016,The Little Mermaid,movie,musical,fantasy,135,PG,4K HDR,2023,Disney,editorial/little-mermaid,0,false,false,false,"Live-action adaptation of Disney classic","disney,remake,musical,halle bailey"
sports_006,NHL: Rangers vs Bruins,sports,sports,hockey,180,TV-PG,HD,2024,MSG,live-now/nhl-rangers-bruins,0,false,false,false,"Original Six rivalry on ice","nhl,hockey,rivalry,original six"
sports_007,F1: Monaco Grand Prix,sports,sports,racing,120,TV-PG,4K,2024,Sky Sports,upcoming/f1-monaco,0,false,false,false,"Most prestigious race in Formula 1","f1,racing,monaco,glamour"
sports_008,Champions League: Real Madrid vs Bayern,sports,sports,soccer,120,TV-PG,4K,2024,CBS Sports,upcoming/ucl-real-bayern,0,false,false,false,"European giants clash in semifinals","soccer,champions league,european,elite"
sports_009,The Masters: Final Round,sports,sports,golf,300,TV-G,4K HDR,2024,CBS,editorial/masters-final,0,false,false,false,"Final round from Augusta National","golf,masters,tradition,augusta"
sports_010,NBA Playoffs: Warriors vs Suns,sports,sports,basketball,150,TV-PG,4K,2024,TNT,live-now/nba-warriors-suns,0,false,false,false,"Western Conference showdown","nba,playoffs,curry,durant"
news_003,Anderson Cooper 360,tv,news,analysis,60,TV-PG,HD,2024,CNN,editorial/ac360,0,false,false,false,"In-depth news analysis and interviews","news,analysis,anderson cooper,primetime"
news_004,PBS NewsHour,tv,news,journalism,60,TV-G,HD,2024,PBS,collections/pbs-newshour,0,false,false,false,"Trusted source for unbiased news","news,journalism,public media,analysis"
news_005,Face the Nation,tv,news,politics,30,TV-PG,HD,2024,CBS,upcoming/face-the-nation,0,false,false,false,"Sunday morning political talk show","politics,interviews,sunday,washington"
reality_003,Love Island,tv,reality,dating,60,TV-14,HD,2024,CBS,trending/love-island,0,false,false,false,"Singles couple up in tropical villa","dating,reality,drama,summer"
reality_004,The Amazing Race,tv,reality,competition,60,TV-PG,HD,2024,CBS,continue-watching/amazing-race,40,false,false,false,"Teams race around the world","competition,travel,adventure,teamwork"
reality_005,Queer Eye,tv,reality,makeover,45,TV-PG,HD,2024,Netflix,editorial/queer-eye,0,false,false,false,"Fab Five transform lives with style and heart","makeover,heartwarming,lgbtq,lifestyle"
reality_006,RuPaul's Drag Race,tv,reality,competition,60,TV-14,HD,2024,VH1,trending/drag-race,0,false,false,false,"Drag queens compete for the crown","drag,competition,lgbtq,fashion"
doc_003,Free Solo,movie,documentary,adventure,100,PG-13,4K,2018,National Geographic,collections/free-solo,0,false,false,false,"Alex Honnold climbs El Capitan without ropes","climbing,adventure,extreme,oscar winner"
doc_004,Won't You Be My Neighbor?,movie,documentary,biographical,94,PG-13,HD,2018,Focus Features,editorial/mister-rogers,0,false,false,false,"Life and legacy of Fred Rogers","mister rogers,childhood,wholesome,nostalgia"
doc_005,My Octopus Teacher,movie,documentary,nature,85,TV-G,4K,2020,Netflix,trending/octopus-teacher,0,false,false,false,"Filmmaker forms bond with octopus","nature,ocean,emotional,unique"
doc_006,The Last Dance,tv,documentary,sports,50,TV-MA,4K,2020,ESPN,collections/last-dance,0,false,false,false,"Michael Jordan and the 1990s Chicago Bulls","basketball,michael jordan,sports doc,dynasty"
kids_003,Encanto,movie,animation,musical,102,PG,4K HDR,2021,Disney,trending/encanto,0,false,false,false,"Colombian girl discovers family's magical secret","disney,musical,family,colombia"
kids_004,Teenage Mutant Ninja Turtles,tv,animation,action,22,TV-Y7,HD,2024,Nickelodeon,continue-watching/tmnt,20,false,false,false,"Four turtle brothers fight crime in NYC","action,comedy,classic,reboot"
kids_005,SpongeBob SquarePants,tv,animation,comedy,11,TV-Y,HD,1999,Nickelodeon,trending/spongebob,0,false,false,false,"Underwater adventures in Bikini Bottom","comedy,underwater,classic,silly"
anime_003,Demon Slayer,tv,animation,anime,24,TV-14,4K,2019,Crunchyroll,editorial/demon-slayer,0,false,false,false,"Boy fights demons to save his sister","anime,action,beautiful animation,shonen"
anime_004,My Hero Academia,tv,animation,anime,24,TV-14,HD,2016,Crunchyroll,continue-watching/mha,65,false,false,false,"Students train to become superheroes","anime,superhero,school,quirks"
anime_005,Death Note,tv,animation,anime,23,TV-14,HD,2006,Netflix,collections/death-note,0,false,false,false,"Student gains power to kill with a notebook","anime,psychological,thriller,cat and mouse"
food_003,Salt Fat Acid Heat,tv,documentary,culinary,40,TV-G,HD,2018,Netflix,editorial/salt-fat-acid,0,false,false,false,"Chef explores four elements of good cooking","cooking,educational,travel,samin nosrat"
food_004,Ugly Delicious,tv,documentary,culinary,50,TV-MA,HD,2018,Netflix,trending/ugly-delicious,0,false,false,false,"David Chang explores food and culture","food,culture,david chang,unconventional"
comedy_001,Dave Chappelle: The Closer,movie,comedy,standup,72,TV-MA,HD,2021,Netflix,editorial/chappelle-closer,0,false,false,false,"Controversial final special in series","standup,controversial,dave chappelle,comedy"
comedy_002,Bo Burnham: Inside,movie,comedy,musical,87,TV-MA,HD,2021,Netflix,collections/bo-inside,0,false,false,false,"Comedy special filmed during pandemic","comedy,musical,pandemic,innovative"
comedy_003,Kevin Hart: Reality Check,movie,comedy,standup,60,TV-MA,HD,2023,Netflix,trending/hart-reality,0,false,false,false,"Kevin Hart on family and fame","standup,kevin hart,family,relatable"
show_019,Peaky Blinders,tv,drama,crime,60,TV-MA,4K,2013,BBC,continue-watching/peaky-blinders,85,false,false,false,"1920s Birmingham gang builds empire","british,crime,cillian murphy,period"
show_020,Ozark,tv,drama,crime,60,TV-MA,4K HDR,2017,Netflix,editorial/ozark,0,false,false,false,"Financial advisor launders money in the Ozarks","crime,thriller,jason bateman,dark"
show_021,The Witcher,tv,action,fantasy,60,TV-MA,4K HDR,2019,Netflix,trending/witcher,0,false,false,false,"Monster hunter searches for adopted daughter","fantasy,henry cavill,monsters,adaptation"
show_022,Mare of Easttown,tv,drama,mystery,60,TV-MA,HD,2021,HBO,collections/mare-easttown,0,false,false,false,"Detective investigates murder in small town","mystery,kate winslet,small town,grief"
show_023,Only Murders in the Building,tv,comedy,mystery,30,TV-14,4K,2021,Hulu,editorial/only-murders,0,false,false,false,"Neighbors investigate murder in their building","mystery,comedy,steve martin,podcast"
show_024,Euphoria,tv,drama,teen,55,TV-MA,4K HDR,2019,HBO,trending/euphoria,0,false,false,false,"Teenagers navigate love and addiction","teen drama,zendaya,stylized,intense"
show_025,Loki,tv,action,superhero,50,TV-14,4K HDR,2021,Disney+,continue-watching/loki,30,false,false,false,"God of Mischief faces timeline chaos","marvel,time travel,tom hiddleston,multiverse"
show_026,The Handmaid's Tale,tv,drama,dystopian,60,TV-MA,4K,2017,Hulu,collections/handmaids-tale,0,false,false,false,"Women fight oppression in totalitarian society","dystopian,elisabeth moss,resistance,adaptation"
movie_017,Poor Things,movie,drama,fantasy,141,R,4K,2023,Searchlight,editorial/poor-things,0,false,false,false,"Woman brought back to life embarks on adventure","emma stone,surreal,yorgos lanthimos,unique"
movie_018,The Whale,movie,drama,psychological,117,R,HD,2022,A24,trending/the-whale,0,false,false,false,"Reclusive teacher tries to reconnect with daughter","brendan fraser,emotional,comeback,heavy"
movie_019,Cocaine Bear,movie,comedy,thriller,95,R,HD,2023,Universal,collections/cocaine-bear,0,false,false,false,"Bear goes on rampage after ingesting cocaine","comedy,based on true story,absurd,wild"
movie_020,M3GAN,movie,horror,sci-fi,102,PG-13,4K,2023,Universal,editorial/m3gan,0,false,false,false,"AI doll becomes overprotective of child","horror,ai,technology,creepy"
movie_021,Glass Onion,movie,mystery,comedy,139,PG-13,4K HDR,2022,Netflix,trending/glass-onion,0,false,false,false,"Detective Blanc solves murder on Greek island","mystery,daniel craig,ensemble,sequel"
movie_022,Nope,movie,horror,sci-fi,130,R,4K,2022,Universal,collections/nope,0,false,false,false,"Siblings discover something sinister in the skies","jordan peele,ufo,horror,spectacle"
movie_023,Bullet Train,movie,action,comedy,127,R,4K HDR,2022,Sony,editorial/bullet-train,0,false,false,false,"Assassins clash on Japanese bullet train","brad pitt,action comedy,stylized,ensemble"
movie_024,The Northman,movie,action,historical,137,R,4K,2022,Focus Features,trending/northman,0,false,false,false,"Viking prince seeks revenge for father's murder","viking,revenge,alexander skarsgard,epic"
sports_011,World Cup: Brazil vs Argentina,sports,sports,soccer,120,TV-PG,4K HDR,2024,FOX Sports,editorial/worldcup-brazil-arg,0,false,false,false,"South American giants face off","soccer,world cup,rivalry,messi"
sports_012,Super Bowl LVIII,sports,sports,football,240,TV-PG,4K HDR,2024,CBS,collections/superbowl-58,0,false,false,false,"NFL Championship game with halftime show","nfl,super bowl,championship,event"
sports_013,Wimbledon: Men's Final,sports,sports,tennis,180,TV-G,4K,2024,ESPN,upcoming/wimbledon-final,0,false,false,false,"Championship match on Centre Court","tennis,wimbledon,grand slam,tradition"
sports_014,Tour de France: Stage 20,sports,sports,cycling,240,TV-G,HD,2024,NBC Sports,live-now/tour-stage20,0,false,false,false,"Penultimate stage in the mountains","cycling,tour de france,endurance,mountains"
sports_015,World Series: Game 7,sports,sports,baseball,210,TV-PG,4K,2024,FOX,editorial/world-series-g7,0,false,false,false,"Winner-take-all championship game","mlb,world series,game 7,drama"
short_004,Marvel Studios: Assembled,tv,documentary,behind-scenes,20,TV-PG,HD,2024,Disney+,gamestream/marvel-assembled,0,false,false,false,"Making of latest Marvel movie","marvel,behind scenes,exclusive,bts"
short_005,NFL RedZone Highlights,sports,sports,football,10,TV-PG,HD,2024,NFL Network,gamestream/nfl-redzone,0,false,false,false,"Every touchdown from Sunday","nfl,highlights,touchdowns,compilation"
short_006,Premier League Goal Rush,sports,sports,soccer,15,TV-G,4K,2024,NBC Sports,gamestream/epl-goals,0,false,false,false,"Best goals from the weekend","soccer,goals,highlights,premier league"
short_007,Comedy Central Roast Clips,tv,comedy,roast,8,TV-MA,HD,2024,Comedy Central,gamestream/cc-roast,0,false,false,false,"Best burns from celebrity roasts","comedy,roast,celebrities,savage"
short_008,NBA Dunks of the Week,sports,sports,basketball,5,TV-PG,HD,2024,ESPN,gamestream/nba-dunks,0,false,false,false,"Most spectacular dunks","nba,dunks,highlights,athletic"
channel_006,FOX Sports,channel,sports,live,0,TV-PG,4K,2024,FOX,live-now/fox-sports,0,false,false,false,"Live Sports & Analysis","sports,nfl,mlb,4K"
channel_007,MSNBC,channel,news,live,0,TV-PG,HD,2024,MSNBC,live-now/msnbc,0,false,false,false,"24/7 News & Politics","news,politics,analysis"
channel_008,Cartoon Network,channel,kids,animation,0,TV-Y7,HD,2024,Cartoon Network,live-now/cartoon-network,0,false,false,false,"Animation for Kids & Adults","animation,kids,adult swim"
channel_009,Discovery Channel,channel,documentary,educational,0,TV-PG,HD,2024,Discovery,live-now/discovery,0,false,false,false,"Science & Nature Programming","documentary,science,nature"
channel_010,MTV,channel,entertainment,music,0,TV-14,HD,2024,MTV,live-now/mtv,0,false,false,false,"Music & Youth Culture","music,reality,youth"
channel_011,Comedy Central,channel,comedy,entertainment,0,TV-14,HD,2024,Comedy Central,live-now/comedy-central,0,false,false,false,"24/7 Comedy Programming","comedy,standup,series"
channel_012,National Geographic,channel,documentary,nature,0,TV-PG,4K,2024,Nat Geo,live-now/nat-geo,0,false,false,false,"Explore the World","nature,documentary,exploration,4K"
